Date,Price,Open,High,Low,Vol.,Change %
25-Mar-22,44331,44013,45112,43622,494.09M,0.72%
24-Mar-22,44013,42911,44251,42658,491.66M,2.57%
23-Mar-22,42912,42373,43027,41795,433.96M,1.27%
22-Mar-22,42373,41022,43327.9,40893,537.06M,3.29%
21-Mar-22,41022,41282,41532,40530,406.62M,-0.62%
20-Mar-22,41276,42241,42301,40922,308.45M,-2.27%
19-Mar-22,42233,41768,42386,41529.6,224.59M,1.11%
18-Mar-22,41767.8,40914.6,42308.4,40234.8,2.31B,2.08%
17-Mar-22,40914.8,41118.7,41406,40557.8,1.90B,-0.50%
16-Mar-22,41118.7,39282.5,41701.6,38953.2,4.47B,4.67%
15-Mar-22,39285.7,39673,39854.7,38220.9,2.25B,-0.97%
14-Mar-22,39671.1,37789.5,39914.3,37613.6,2.33B,4.97%
13-Mar-22,37792.4,38813.2,39272.3,37603.4,1.55B,-2.63%
12-Mar-22,38814.3,38730.2,39355.3,38666.5,1.11B,0.22%
11-Mar-22,38730.2,39422.5,40177,38236.4,2.79B,-1.74%
10-Mar-22,39416.3,41933.9,42029.1,38603.5,3.62B,-5.99%
9-Mar-22,41929,38731.5,42538.5,38663.3,3.60B,8.22%
8-Mar-22,38744.8,38020.6,39351.5,37886.6,2.67B,1.89%
7-Mar-22,38024.8,38420.6,39532,37182.1,3.02B,-0.99%
6-Mar-22,38403.1,39396.3,39668.1,38115,1.93B,-2.52%
5-Mar-22,39395.8,39142.8,39600.2,38626.1,1.50B,0.65%
4-Mar-22,39142.7,42463,42848.7,38594.9,3.21B,-7.82%
3-Mar-22,42463,43912.8,44077.2,41840.8,74.11K,-3.30%
2-Mar-22,43912.8,44420.3,45294.2,43361.3,80.82K,-1.14%
1-Mar-22,44420.3,43187.2,44900.5,42876.6,90.67K,2.85%
28-Feb-22,43188.2,37707.2,43977.8,37458.9,108.07K,14.59%
27-Feb-22,37689.1,39116.6,39838.5,37062.3,66.14K,-3.65%
26-Feb-22,39115.5,39221.6,40094.5,38639.1,41.55K,-0.24%
25-Feb-22,39209.6,38339.2,39683.7,38042.6,83.78K,2.27%
24-Feb-22,38339.2,37250.2,39351.6,34357.4,180.47K,2.99%
23-Feb-22,37224.6,38248.2,39194.5,37099.5,64.84K,-2.68%
22-Feb-22,38248.2,37018.3,38414.9,36399.6,82.75K,3.32%
21-Feb-22,37017.7,38355,39444.1,36868.9,91.82K,-3.49%
20-Feb-22,38355,40089.6,40120.3,38042.2,47.92K,-4.33%
19-Feb-22,40090.3,40000.1,40434.3,39666.6,25.78K,0.23%
18-Feb-22,40000.1,40532.5,40935.5,39505,64.96K,-1.36%
17-Feb-22,40552.8,43885.5,44167.1,40103.8,72.63K,-7.59%
16-Feb-22,43883.6,44540.9,44552.9,43377.6,41.40K,-1.48%
15-Feb-22,44544.4,42550.3,44722.6,42460.1,56.34K,4.69%
14-Feb-22,42550.3,42061.1,42799.7,41591.3,53.60K,1.16%
13-Feb-22,42061.1,42205.5,42725.1,41880.1,25.88K,-0.34%
12-Feb-22,42205.2,42388.4,43006.4,41776.8,37.88K,-0.43%
11-Feb-22,42388.4,43519.3,43915.1,42023.4,69.95K,-2.60%
10-Feb-22,43521,44388.9,45755.2,43242.5,89.69K,-1.96%
9-Feb-22,44388.9,44038.2,44800.4,43163,50.92K,0.80%
8-Feb-22,44038.2,43833.9,45399.8,42705,92.88K,0.47%
7-Feb-22,43833.9,42385.2,44468.3,41695.4,76.60K,3.40%
6-Feb-22,42392.2,41411.9,42614.8,41176.3,31.20K,2.37%
5-Feb-22,41412.1,41566.5,41899.8,40963.3,46.32K,-0.37%
4-Feb-22,41567.6,37287.8,41689,37041.1,95.49K,11.48%
3-Feb-22,37287.8,36890.2,37304.3,36297.3,50.35K,1.08%
2-Feb-22,36890.2,38711.2,38853.8,36682.3,53.74K,-4.70%
1-Feb-22,38709.7,38475.6,39230,38037.9,55.20K,0.55%
31-Jan-22,38498.6,37923.8,38701.4,36672.8,61.27K,1.53%
30-Jan-22,37917.7,38167.5,38313.3,37390.6,34.10K,-0.66%
29-Jan-22,38170.8,37736.5,38663.7,37350.2,42.77K,1.13%
28-Jan-22,37745.1,37195.6,37995.9,36176.5,69.45K,1.56%
27-Jan-22,37164.3,36800.1,37215.4,35543.2,83.52K,0.99%
26-Jan-22,36800.4,36962.3,38862.6,36280,107.87K,-0.41%
25-Jan-22,36950.6,36691.3,37501.8,35729.3,79.68K,0.72%
24-Jan-22,36686.3,36268.6,37424,32985.6,153.77K,1.15%
23-Jan-22,36269.5,35072.9,36513,34655.2,70.43K,3.40%
22-Jan-22,35075.2,36467.7,36749.8,34116,138.09K,-3.84%
21-Jan-22,36475.5,40698.1,41104.6,35503.9,155.80K,-10.41%
20-Jan-22,40715.9,41683.6,43487.1,40568.3,65.28K,-2.31%
19-Jan-22,41677.8,42365.3,42558,41160.9,53.77K,-1.62%
18-Jan-22,42364.6,42209.9,42674.2,41300.7,47.32K,0.37%
17-Jan-22,42209.3,43080.5,43179.6,41559.4,41.44K,-2.02%
16-Jan-22,43079.1,43079.2,43462,42643.3,28.66K,-0.04%
15-Jan-22,43097,43073.6,43777.9,42586.1,31.44K,0.06%
14-Jan-22,43073.3,42562.2,43435.1,41848.7,50.50K,1.21%
13-Jan-22,42560,43900,44404.7,42337.5,53.42K,-3.05%
12-Jan-22,43901,42735,44243.6,42476.7,53.95K,2.73%
11-Jan-22,42733.2,41829.1,43090.2,41287.6,61.78K,2.15%
10-Jan-22,41832.2,41848.9,42243.8,39697,85.50K,-0.04%
9-Jan-22,41848.3,41681.2,42764.4,41260.9,37.51K,0.42%
8-Jan-22,41672,41551.3,42304.4,40574.3,52.54K,0.30%
7-Jan-22,41546.7,43097.9,43127.7,40810,88.36K,-3.60%
6-Jan-22,43097.5,43431.6,43772.3,42481.1,63.08K,-0.76%
5-Jan-22,43425.9,45833.1,47019.4,42535.1,83.74K,-5.26%
4-Jan-22,45837.3,46435.7,47505.4,45602.1,55.59K,-1.28%
3-Jan-22,46430.2,47293.9,47556,45704,41.06K,-1.86%
2-Jan-22,47311.8,47738.7,47944.9,46718.2,27.02K,-0.89%
1-Jan-22,47738,46217.5,47917.6,46217.5,31.24K,3.29%
31-Dec-21,46219.5,47123.3,48553.9,45693.6,58.18K,-1.92%
30-Dec-21,47123.3,46470.7,47901.4,46003,60.96K,1.42%
29-Dec-21,46461.7,47548.4,48121.7,46127.8,63.92K,-2.28%
28-Dec-21,47545.2,50703.4,50703.8,47345.7,74.39K,-6.18%
27-Dec-21,50678.2,50783.6,52016.3,50459,43.90K,-0.20%
26-Dec-21,50779.9,50404,51247,49527,32.34K,0.74%
25-Dec-21,50406.4,50789.6,51140.2,50196.8,26.67K,-0.75%
24-Dec-21,50786.1,50807.4,51795.3,50428.4,45.97K,-0.03%
23-Dec-21,50801,48599.6,51355.6,48053.4,56.24K,4.53%
22-Dec-21,48599.7,48898.7,49540.3,48449.7,40.89K,-0.62%
21-Dec-21,48902,46900.1,49306.1,46654,57.88K,4.28%
20-Dec-21,46895.2,46703.4,47488.9,45577.3,57.53K,0.41%
19-Dec-21,46704.5,46855.7,48270.2,46438.4,44.05K,-0.32%
18-Dec-21,46856.2,46171.8,47330.2,45513.4,36.93K,1.48%
17-Dec-21,46172.2,47630.4,47997.2,45523.8,67.50K,-3.06%
16-Dec-21,47628.2,48876.6,49387.8,47543.9,48.20K,-2.54%
15-Dec-21,48871.5,48366.2,49477.9,46572.6,80.28K,1.04%
14-Dec-21,48366.5,46709.8,48635,46338.3,62.54K,3.56%
13-Dec-21,46703.6,50075.9,50196.1,45848.2,80.37K,-6.74%
12-Dec-21,50081,49332.5,50779.2,48670.5,40.30K,1.55%
11-Dec-21,49314.5,47138.4,49487,46834,45.23K,4.62%
10-Dec-21,47137.2,47591.7,49974.8,47007.1,68.06K,-0.97%
9-Dec-21,47596.6,50477.6,50790.2,47341.9,58.69K,-5.70%
8-Dec-21,50473.9,50596.6,51204.7,48700.7,55.59K,-0.24%
7-Dec-21,50595.2,50547.4,51918.6,50070.9,56.29K,0.07%
6-Dec-21,50562.1,49412.1,50913.3,47237.9,89.68K,2.34%
5-Dec-21,49405.5,49196.4,49689.3,47797.8,72.03K,0.43%
4-Dec-21,49195.2,53620.7,53847.2,42587.8,168.00K,-8.27%
3-Dec-21,53631.5,56495.2,57543.6,52008.9,89.20K,-5.07%
2-Dec-21,56496,57207.8,57377.5,55807.9,54.94K,-1.25%
1-Dec-21,57210.3,56891.7,59064.3,56496.5,66.75K,0.58%
30-Nov-21,56882.9,57795.2,59174.4,55936.9,73.66K,-1.58%
29-Nov-21,57794.8,57288.1,58855.2,56726.7,58.65K,0.88%
28-Nov-21,57291.5,54758,57392.3,53448.3,49.28K,4.61%
27-Nov-21,54765.9,53747.2,55280.3,53654.3,40.71K,1.93%
26-Nov-21,53730.9,58937.3,59151.1,53533.5,104.03K,-8.83%
25-Nov-21,58935.1,57167.1,59387.3,57029.8,56.79K,3.08%
24-Nov-21,57171.7,57559.4,57697.4,55910.6,56.68K,-0.70%
23-Nov-21,57573.2,56304.8,57855.1,55542.5,72.48K,2.25%
22-Nov-21,56308.8,58719.7,59288.3,55656.8,76.45K,-4.10%
21-Nov-21,58714.3,59724,60002.6,58528.3,40.98K,-1.68%
20-Nov-21,59717.6,58080.8,59854.6,57435.3,44.53K,2.81%
19-Nov-21,58083.4,56908.3,58335.9,55626.3,74.44K,1.98%
18-Nov-21,56955.3,60368.2,60936.9,56524.4,100.37K,-5.65%
17-Nov-21,60367.8,60074.2,60814.5,58531.9,73.93K,0.46%
16-Nov-21,60089.1,63605.1,63605.6,58655.9,115.36K,-5.52%
15-Nov-21,63597.9,65514.9,66311.2,63439.5,53.53K,-2.92%
14-Nov-21,65508.2,64397.2,65508.2,63608.3,33.98K,1.72%
13-Nov-21,64398.6,64133.3,64906,63381.4,30.34K,0.41%
12-Nov-21,64134.5,64782.6,65449.7,62309.7,63.27K,-1.04%
11-Nov-21,64806.7,64922.8,65583.3,64121.9,50.37K,-0.19%
10-Nov-21,64932.6,66942.6,68990.6,62951.3,96.21K,-2.95%
9-Nov-21,66904.4,67528.7,68493.3,66334.9,66.13K,-0.92%
8-Nov-21,67527.9,63276.4,67763.3,63276.4,81.08K,6.72%
7-Nov-21,63273.2,61483.8,63273.2,61347.2,34.34K,2.91%
6-Nov-21,61483.9,60973.2,61543.2,60093.6,34.89K,0.84%
5-Nov-21,60974.3,61411.5,62560.3,60742.4,44.46K,-0.71%
4-Nov-21,61412.6,62915.4,63077.6,60742.9,49.91K,-2.39%
3-Nov-21,62918.5,63223.5,63508.6,60883,61.05K,-0.48%
2-Nov-21,63221.7,60912.2,64256.4,60651.5,65.26K,3.79%
1-Nov-21,60915.3,61310.1,62430.1,59612.7,61.21K,-0.64%
31-Oct-21,61309.6,61842.2,62393.7,60005.7,50.06K,-0.86%
30-Oct-21,61840.1,62245,62338.5,60786,40.51K,-0.65%
29-Oct-21,62242.8,60579.9,62952.2,60322.2,63.39K,2.74%
28-Oct-21,60582.5,58437.2,62251.3,58128.1,88.47K,3.67%
27-Oct-21,58438.1,60312.5,61452.9,58112.6,88.11K,-3.11%
26-Oct-21,60310.8,63067.5,63275.1,59907.3,57.13K,-4.37%
25-Oct-21,63067,60864.3,63694.8,60655.8,51.06K,3.62%
24-Oct-21,60866.5,61308.2,61469.9,59523.7,42.67K,-0.73%
23-Oct-21,61312.5,60693.2,61728.7,59738.3,37.05K,1.03%
22-Oct-21,60690.3,62200.8,63699.7,60055.7,75.69K,-2.44%
21-Oct-21,62210.2,66004.6,66616.9,62092.1,105.38K,-5.71%
20-Oct-21,65979.1,64276.9,66967.1,63543.7,79.87K,2.65%
19-Oct-21,64278.5,62030.2,64454,61451,80.16K,3.58%
18-Oct-21,62056.3,61525.8,62623.6,60026.9,80.15K,0.86%
17-Oct-21,61527.5,60865.5,61651.4,59143.4,53.39K,1.09%
16-Oct-21,60861.1,61669.2,62329.2,60161.9,49.93K,-1.32%
15-Oct-21,61672.5,57348.2,62892.8,56874.8,121.48K,7.54%
14-Oct-21,57345.8,57370.4,58506.5,56866.8,59.84K,-0.06%
13-Oct-21,57380.1,56014.5,57697.4,54314.4,73.62K,2.44%
12-Oct-21,56015.9,57480.6,57635.7,54155.4,74.85K,-2.54%
11-Oct-21,57477.3,54686.9,57814.1,54457.8,73.84K,5.10%
10-Oct-21,54687.7,54942.5,56432.2,54100.8,104.43K,-0.46%
9-Oct-21,54942.5,53924.1,55430.8,53711.7,64.65K,1.91%
8-Oct-21,53914.7,53785.5,55977.9,53659.3,64.05K,0.24%
7-Oct-21,53783.9,55325.2,55325.6,53476.4,75.68K,-2.78%
6-Oct-21,55323.2,51470,55676.1,50439.5,116.26K,7.49%
5-Oct-21,51469.3,49229.5,51872.4,49060.1,76.63K,4.55%
4-Oct-21,49227.3,48200.4,49481.7,46958.6,66.92K,2.13%
3-Oct-21,48200.1,47665.4,49165.2,47123,42.41K,1.12%
2-Oct-21,47666.9,48147.2,48306.9,47451.7,39.82K,-1.00%
1-Oct-21,48146,43824.4,48435.2,43292.9,94.66K,9.86%
30-Sep-21,43823.3,41534.5,44101.2,41416.7,64.32K,5.50%
29-Sep-21,41536.8,41023.1,42571.2,40815,48.21K,1.25%
28-Sep-21,41022.3,42169.9,42758.8,40906.4,60.01K,-2.73%
27-Sep-21,42172.6,43200.9,44293.2,42143.9,54.12K,-2.39%
26-Sep-21,43203.4,42685.8,43907.3,40786.6,69.91K,1.21%
25-Sep-21,42686.8,42818.7,42959.3,41714.5,46.35K,-0.31%
24-Sep-21,42819.9,44867.4,45112,40908.5,128.88K,-4.57%
23-Sep-21,44869.2,43550.7,44949.8,43090.1,74.54K,3.03%
22-Sep-21,43551.6,40660.8,43976.7,40585.7,93.98K,7.13%
21-Sep-21,40651.3,43012.3,43619.3,39646.8,142.55K,-5.18%
20-Sep-21,42870.6,47240.8,47323.9,42547.1,77.96K,-9.25%
19-Sep-21,47238.7,48299.9,48341.9,46866.6,41.98K,-2.21%
18-Sep-21,48306.7,47283.9,48761,47070.5,43.64K,2.17%
17-Sep-21,47282.8,47748.2,48155.9,46788.8,50.16K,-0.97%
16-Sep-21,47748,48132.3,48480.6,47040.3,60.91K,-0.80%
15-Sep-21,48130.6,47070.8,48436.5,46743.9,63.40K,2.24%
14-Sep-21,47077.5,44950.2,47247.6,44718.7,65.33K,4.73%
13-Sep-21,44949.5,46060.8,46807.7,43463.2,96.15K,-2.42%
12-Sep-21,46062.3,45162.6,46386.4,44755.2,44.52K,1.99%
11-Sep-21,45161.9,44844.9,45975.6,44766.6,41.58K,0.71%
10-Sep-21,44842.8,46385.9,47021.6,44283.6,75.62K,-3.33%
9-Sep-21,46385.6,46057.6,47305.7,45609,73.63K,0.70%
8-Sep-21,46061.4,46774.1,47316.9,44493.7,100.48K,-1.54%
7-Sep-21,46779.6,52674.2,52885.3,43072.4,187.56K,-11.19%
6-Sep-21,52672.1,51769.4,52726.2,51002.8,69.46K,1.75%
5-Sep-21,51768.6,49918.7,51878.2,49492.4,57.30K,3.71%
4-Sep-21,49918.4,49999.3,50534.6,49461.4,48.14K,-0.16%
3-Sep-21,49999,49269.5,51008.8,48377.3,88.08K,1.47%
2-Sep-21,49274.3,48817.8,50355.3,48612.9,80.21K,0.93%
1-Sep-21,48819.4,47129.2,49121,46533.1,74.38K,3.58%
31-Aug-21,47130.4,46989.1,48217,46709.3,71.48K,0.29%
30-Aug-21,46992.7,48777.1,48886,46876.9,61.68K,-3.66%
29-Aug-21,48777.4,48899.7,49621.7,47870.1,47.62K,-0.24%
28-Aug-21,48897.1,49062.8,49289.4,48428.5,36.73K,-0.34%
27-Aug-21,49064.3,46830.2,49142,46371.5,62.47K,4.77%
26-Aug-21,46831.6,48994.4,49347.8,46360.4,73.79K,-4.41%
25-Aug-21,48994.5,47707.4,49230.2,47163.3,63.54K,2.68%
24-Aug-21,47714.7,49532.5,49847.4,47623.6,74.26K,-3.68%
23-Aug-21,49539.7,49255.4,50498.8,49038.6,75.37K,0.58%
22-Aug-21,49254.5,48870.4,49480.3,48151,49.32K,0.77%
21-Aug-21,48875.8,49330,49719.1,48293.5,18.20K,-0.91%
20-Aug-21,49324,46756.7,49343.3,46646.8,83.19K,5.49%
19-Aug-21,46755.9,44725.9,47012.3,43986.7,77.92K,4.54%
18-Aug-21,44723.8,44691.1,46004.9,44230,22.36K,0.07%
17-Aug-21,44691.6,45907.5,47140.6,44441.3,84.14K,-2.84%
16-Aug-21,45996.3,46991.6,48002.4,45672.1,2.41K,-2.12%
15-Aug-21,46991.3,47082.6,47344.1,45564.1,58.11K,-0.19%
14-Aug-21,47081.5,47809.6,48090.9,46117.2,64.29K,-1.52%
13-Aug-21,47809.1,44404,47836,44242.4,75.27K,7.67%
12-Aug-21,44403.4,45562.3,46213.8,43814.7,81.07K,-2.55%
11-Aug-21,45564.3,45593.2,46736.5,45367.9,75.43K,-0.06%
10-Aug-21,45593.8,46281.8,46663.4,44681.2,80.55K,-1.49%
9-Aug-21,46284.3,43794.9,46460.7,42824.1,117.08K,5.69%
8-Aug-21,43792.8,44584.9,45284.1,43314.4,105.25K,-1.84%
7-Aug-21,44614.2,42784.7,44697.3,42611,112.84K,4.25%
6-Aug-21,42795.4,40868.4,43253.4,39905.4,111.93K,4.72%
5-Aug-21,40867.2,39734.4,41366.3,37365.4,130.60K,2.84%
4-Aug-21,39736.9,38188.4,39956.5,37556,79.22K,4.21%
3-Aug-21,38130.3,39167.4,39766.6,37688.2,0.26K,-2.65%
2-Aug-21,39168.4,39869.8,40449,38692.5,74.81K,-1.78%
1-Aug-21,39878.3,41510,42565,39556.5,80.33K,-4.03%
31-Jul-21,41553.7,42201.4,42285.3,41066.4,44.65K,-1.54%
30-Jul-21,42203.4,40001.1,42264.4,38358.4,98.45K,5.50%
29-Jul-21,40001.4,40009,40630.7,39340.8,75.30K,0.00%
28-Jul-21,40003.2,39450.4,40862.2,38883.8,148.92K,1.40%
27-Jul-21,39452,37294.3,39455.9,36427.4,100.24K,5.84%
26-Jul-21,37276.6,35392.3,40522.9,35236.7,177.63K,5.33%
25-Jul-21,35391.1,34392.5,35391.1,33881.3,65.10K,4.63%
24-Jul-21,33824.8,33600.5,33955,33412.9,67.14K,0.66%
23-Jul-21,33603.3,32297.9,33605.6,32041.1,66.15K,4.04%
22-Jul-21,32298.9,32131.7,32585.4,31729.4,64.87K,0.52%
21-Jul-21,32131.4,29794.7,32794.6,29519.3,118.34K,7.85%
20-Jul-21,29793.8,30835.4,31040.8,29310.2,97.46K,-3.38%
19-Jul-21,30837.2,31782.9,31887,30478.2,77.48K,-2.98%
18-Jul-21,31785.4,31517.9,32408.2,31220.6,57.01K,0.85%
17-Jul-21,31518.6,31384.4,31914.8,31207.8,58.06K,0.40%
16-Jul-21,31394,31842.3,32239.8,31062.2,70.48K,-1.40%
15-Jul-21,31840.5,32820.5,33157,31175.8,76.95K,-2.99%
14-Jul-21,32820.7,32727.8,33051.9,31611.2,69.56K,0.28%
13-Jul-21,32728.1,33106.1,33307.7,32259.5,60.04K,-1.16%
12-Jul-21,33113,34228.3,34598,32662.8,63.24K,-3.26%
11-Jul-21,34227.7,33510.8,34580.6,33319.8,35.72K,2.14%
10-Jul-21,33510.6,33797.7,34221,33056.8,50.94K,-0.85%
9-Jul-21,33797.4,32866.3,34079.2,32367,67.14K,2.83%
8-Jul-21,32866.3,33859.4,33923.2,32146.9,108.09K,-2.96%
7-Jul-21,33867.8,34228.7,35036.6,33801.3,72.03K,-1.05%
6-Jul-21,34225.6,33688.5,35062,33581.7,83.63K,1.60%
5-Jul-21,33687.8,35297,35300.5,33164.1,88.36K,-4.56%
4-Jul-21,35298.2,34742.8,35957.6,34740.1,56.13K,1.60%
3-Jul-21,34742.8,33814.2,34909.8,33363.3,55.69K,2.75%
2-Jul-21,33813.4,33542.2,33925.9,32734.6,78.93K,0.80%
1-Jul-21,33543.6,35030.7,35032.7,32839.2,27.41K,-4.23%
30-Jun-21,35026.9,35832.6,36089.5,34126.6,107.07K,-2.25%
29-Jun-21,35834.7,34477.3,36590.3,34247.6,97.27K,3.94%
28-Jun-21,34475.9,34682.2,35231.2,33944.9,112.00K,-0.58%
27-Jun-21,34678.5,32247.1,34685.5,32041.7,148.80K,7.55%
26-Jun-21,32243.4,31592.1,32643,30206.9,156.67K,2.06%
25-Jun-21,31594,34660.5,35490.9,31337.9,193.43K,-8.86%
24-Jun-21,34665.8,33678.1,35249.9,32356.7,119.25K,2.94%
23-Jun-21,33674.3,32498.3,34784.3,31736.5,173.34K,3.62%
22-Jun-21,32496.4,31682.7,33272.5,28901.8,309.65K,2.54%
21-Jun-21,31692,35597.9,35708.4,31284.1,256.87K,-10.97%
20-Jun-21,35595.8,35510.9,36097.9,33378,137.48K,0.23%
19-Jun-21,35513.4,35770,36357.3,34845.5,105.46K,-0.66%
18-Jun-21,35749.4,38045.5,38166,35198.5,102.84K,-6.05%
17-Jun-21,38052,38337.8,39529.9,37425.3,109.58K,-0.74%
16-Jun-21,38336,40148.1,40494.4,38156.4,123.52K,-4.53%
15-Jun-21,40156.1,40522.5,41318,39589.9,117.55K,-0.92%
14-Jun-21,40529.4,39024.1,40970.4,38769.9,157.35K,3.86%
13-Jun-21,39022.9,35467.5,39321.6,34827,123.32K,10.02%
12-Jun-21,35467.5,37334.4,37437.3,34703.3,87.73K,-4.95%
